timestamp,open,high,low,close,volume
2025-08-22 21:00:00,123.3,123.66,122.93,123.04,28913.146
2025-08-22 22:00:00,123.04,123.34,122.29,122.5,21704.218
2025-08-22 23:00:00,122.49,123.43,122.42,122.96,18513.884
2025-08-23 00:00:00,122.95,123.37,122.62,122.62,13822.904
2025-08-23 01:00:00,122.61,123.07,121.19,121.84,26927.411
2025-08-23 02:00:00,121.84,122.02,119.76,120.84,32221.092
2025-08-23 03:00:00,120.84,121.16,120.07,120.21,13946.118
2025-08-23 04:00:00,120.21,121.51,120.21,121.5,12454.037
2025-08-23 05:00:00,121.5,122.67,121.32,122.4,40470.824
2025-08-23 06:00:00,122.41,122.62,121.87,122.45,26152.812
2025-08-23 07:00:00,122.45,122.78,121.65,121.76,12588.251
2025-08-23 08:00:00,121.77,122.14,121.4,121.9,13751.83
2025-08-23 09:00:00,121.9,121.98,121.42,121.75,9977.155
2025-08-23 10:00:00,121.76,121.92,121.33,121.38,6061.453
2025-08-23 11:00:00,121.39,121.68,121.1,121.28,8269.652
2025-08-23 12:00:00,121.28,121.81,120.87,121.18,14141.893
2025-08-23 13:00:00,121.18,121.62,120.69,120.88,23880.043
2025-08-23 14:00:00,120.88,121.41,120.47,120.54,18158.131
2025-08-23 15:00:00,120.55,121.15,120.52,120.88,10076.379
2025-08-23 16:00:00,120.89,121.03,120.4,120.9,8236.242
2025-08-23 17:00:00,120.9,121.36,120.88,121.21,8511.674
2025-08-23 18:00:00,121.21,121.28,120.64,120.77,7858.09
2025-08-23 19:00:00,120.78,121.17,120.72,121.08,5640.328
2025-08-23 20:00:00,121.09,121.2,120.7,121.01,3394.539
2025-08-23 21:00:00,121.01,121.02,120.62,120.78,5051.419
2025-08-23 22:00:00,120.78,121.63,120.72,121.56,4925.596
2025-08-23 23:00:00,121.56,121.65,121.26,121.45,4523.641
2025-08-24 00:00:00,121.45,122.13,121.45,121.86,6560.579
2025-08-24 01:00:00,121.85,121.89,121.28,121.49,4964.974
2025-08-24 02:00:00,121.48,121.73,120.94,121.06,12946.627
2025-08-24 03:00:00,121.05,121.32,120.59,121.2,5756.957
2025-08-24 04:00:00,121.2,121.82,120.91,121.82,6865.638
2025-08-24 05:00:00,121.82,121.82,121.19,121.33,5757.168
2025-08-24 06:00:00,121.33,121.34,120.07,120.16,11123.32
2025-08-24 07:00:00,120.15,120.52,119.47,119.49,12510.454
2025-08-24 08:00:00,119.48,120.05,119.36,119.87,7707.209
2025-08-24 09:00:00,119.86,120.13,119.45,119.91,10769.213
2025-08-24 10:00:00,119.92,120.13,118.65,118.89,12332.594
2025-08-24 11:00:00,118.89,119.27,118.28,118.5,10613.883
2025-08-24 12:00:00,118.49,118.99,118.36,118.95,6883.966
2025-08-24 13:00:00,118.94,119.45,118.87,119.03,7797.788
2025-08-24 14:00:00,119.02,119.69,118.66,119.52,9941.773
2025-08-24 15:00:00,119.52,120.38,119.18,119.32,12052.623
2025-08-24 16:00:00,119.33,120.09,119.26,119.94,8660.242
2025-08-24 17:00:00,119.93,121.85,119.92,121.59,19646.621
2025-08-24 18:00:00,121.59,123.84,121.42,123.69,42095.935
2025-08-24 19:00:00,123.7,124.77,118.8,120.72,133741.075
2025-08-24 20:00:00,120.72,120.81,118.55,118.81,50666.778
2025-08-24 21:00:00,118.81,119.65,118.14,118.53,35670.533
2025-08-24 22:00:00,118.53,118.72,117.1,118.59,27710.443
2025-08-24 23:00:00,118.59,119.13,118.08,118.19,11781.864
2025-08-25 00:00:00,118.18,118.51,115.51,116.25,45264.164
2025-08-25 01:00:00,116.24,117.69,116.2,117.25,20221.862
2025-08-25 02:00:00,117.25,118.54,117.22,118.42,19850.75
2025-08-25 03:00:00,118.41,118.66,117.19,117.38,18024.713
2025-08-25 04:00:00,117.37,117.57,116.02,116.21,27166.029
2025-08-25 05:00:00,116.22,116.46,114.84,115.03,24894.22
2025-08-25 06:00:00,115.03,115.14,113.61,113.76,46556.117
2025-08-25 07:00:00,113.77,114.24,112.09,112.54,54623.405
2025-08-25 08:00:00,112.54,112.99,111.75,112.67,43194.319
2025-08-25 09:00:00,112.67,112.81,112.07,112.71,31183.688
2025-08-25 10:00:00,112.71,112.71,110.51,110.87,71239.82
2025-08-25 11:00:00,110.88,111.53,110.66,111.49,33260.614
2025-08-25 12:00:00,111.48,112.24,111.0,112.23,47432.401
2025-08-25 13:00:00,112.23,112.23,110.7,111.57,45853.8
2025-08-25 14:00:00,111.57,112.65,111.33,112.25,34235.396
2025-08-25 15:00:00,112.24,112.58,111.56,111.7,20162.769
2025-08-25 16:00:00,111.7,112.66,111.17,112.0,24242.709
2025-08-25 17:00:00,112.01,112.21,111.42,111.75,22147.791
2025-08-25 18:00:00,111.75,111.88,111.12,111.27,19286.103
2025-08-25 19:00:00,111.28,111.53,109.14,109.31,45730.057
2025-08-25 20:00:00,109.32,109.81,107.25,107.32,82018.237
2025-08-25 21:00:00,107.32,108.12,106.7,107.38,52109.46
2025-08-25 22:00:00,107.38,108.83,107.34,108.48,24776.306
2025-08-25 23:00:00,108.48,109.56,108.23,109.13,34638.949
2025-08-26 00:00:00,109.13,110.29,108.79,109.51,52995.859
2025-08-26 01:00:00,109.52,110.1,109.23,109.99,14798.072
2025-08-26 02:00:00,109.99,110.27,109.43,109.64,8768.203
2025-08-26 03:00:00,109.65,110.36,109.35,110.07,9371.16
2025-08-26 04:00:00,110.07,110.83,109.93,110.3,21966.819
2025-08-26 05:00:00,110.31,110.94,110.27,110.77,16754.551
2025-08-26 06:00:00,110.77,111.35,110.01,110.18,19340.283
2025-08-26 07:00:00,110.17,111.29,109.9,110.61,13177.57
2025-08-26 08:00:00,110.62,110.83,110.07,110.38,9504.732
2025-08-26 09:00:00,110.38,110.72,110.1,110.34,8314.286
2025-08-26 10:00:00,110.34,110.93,110.27,110.7,8733.553
2025-08-26 11:00:00,110.69,110.8,110.0,110.57,10070.775
2025-08-26 12:00:00,110.58,112.49,110.04,111.9,34101.617
2025-08-26 13:00:00,111.9,112.12,110.5,111.87,37709.326
2025-08-26 14:00:00,111.87,112.6,111.25,112.41,16108.449
2025-08-26 15:00:00,112.41,112.7,111.75,112.0,36683.802
2025-08-26 16:00:00,112.0,113.33,111.84,113.32,28060.71
2025-08-26 17:00:00,113.31,113.87,112.41,112.92,16614.176
2025-08-26 18:00:00,112.92,113.8,112.66,113.74,10916.059
2025-08-26 19:00:00,113.73,114.65,113.28,114.53,22625.714
2025-08-26 20:00:00,114.53,114.79,113.52,113.6,16893.02
2025-08-26 21:00:00,113.6,113.75,113.0,113.73,21824.33
2025-08-26 22:00:00,113.73,113.84,113.19,113.59,10114.492
2025-08-26 23:00:00,113.59,114.08,113.28,113.48,10398.141
2025-08-27 00:00:00,113.48,113.49,112.89,113.25,7459.431
2025-08-27 01:00:00,113.25,113.47,112.77,113.41,13776.896
2025-08-27 02:00:00,113.41,113.85,112.96,113.69,9749.777
2025-08-27 03:00:00,113.68,114.62,113.21,114.31,11214.441
